Timestamp,Favorite Class (any High School course you've taken),Who taught this Class?,What was your favorite thing about this class?,What was your least favorite thing about this class?,Did this Class accept late work?,Was this an advanced class?,"If it was advanced, could you notice a difference in classwork and rigor?","If it was NOT advanced, did the teacher approach this class with the same mindset as they're other classes?","Did you feel like the teacher taught you to pass the final exam, or to truly retain the information from the course?",Least Favorite Class (any High School course you've taken),Who taught this Class?.1,What was your favorite thing about this class?.1,What was your least favorite thing about this class?.1,Did this class accept late work?,Was this an advanced class?.1,"If it was advanced, could you notice a difference in classwork and rigor?.1","If it was NOT advanced, did the teacher approach this class with the same mindset as they're other classes?.1","Did you feel like the teacher taught you to pass the final exam, or to truly retain the information from the course?.1","If you have any comments or critiques about the survey, feel free to put them below and they will be considered."
2017-09-18 10:33:35,English,Wilson,"I enjoyed the subject matter, the comfortable atmosphere, and the small class size.",The instructor was occasionally temperamental and would waste a class period ranting.,Yes,Yes,No,,Retain the Information,Civics,Barham,"The teacher was lenient on work, depending on who you were. ","The teacher picked favorites and treated students differently accordingly, which sometimes affected the quality of work turned in, since they could get away with it where others couldn't.",Yes,Yes,No,,Pass the Exam,
2017-09-18 10:37:49,Science,Sigmon,how it was taught ,The people in it,Yes,No,No,Yes,Retain the Information,Science,Scronce,Getting 100s for doing physical work instead of the class work ,The class ,Yes,No,,No,Retain the Information,
2017-09-18 10:40:11,English,Wilson,The teacher and class structure. ,none,No,Yes,Yes,,Retain the Information,Civics,Barham,"I was with my friends, and some activities were fun. ",I did not like this class very much at all. It was unfair and I felt like I did not actually learn from the work that was assigned. ,No,Yes,No,,Pass the Exam,
2017-09-18 10:40:44,English,Wilson,The class was very structures but also allowed a lot of room for creativity.,Having to read,Yes,Yes,Yes,,Retain the Information,Civics,Barham,Debates,"Everything. Teacher was unfair, the work was ridiculous. Absolutely horrible.",No,Yes,Yes,,Pass the Exam,BARHAM IS A TERRIBLE TEACHER AND WILSON IS THE BEST TEACHER I HAVE EVER HAD.
2017-09-18 10:43:33,English,Wilson,"This class was very structured, yet I still felt that I had the freedom to learn and complete assignments in a way that was best suited to me. ","Every unit we completed took up a lot of time, and I wish the class could have moved a little faster at times. ",No,No,,Yes,Retain the Information,Science,Sigmon,Doing hands-on experiments to learn the material.,"The pace of the class was extremely slow, and therefore we weren't able to cover nearly all of the information we were supposed to before the final exam.",No,No,,,Pass the Exam,
2017-09-18 10:51:37,Band,Smith,I like being able to physically do things in a class and have experiences.,"Though there's no bookwork homework, it's a major time commitment outside of class.",Yes,No,,No,Retain the Information,Math,Cochrane,Being able to use our notes for credit on the tests made it easier to do better.,"I can't understand math easily when it's based around memorization, I have to be able to understand the premise and reasoning behind all of it, which I just never got.",Yes,Yes,Yes,,Pass the Exam,
2017-09-18 10:58:39,AP Psych,Barham,The different learning styles which were integrated into the class,Taking notes out of the textbook,Yes,Yes,Yes,,Pass the Exam,AP World,Barham,Making videos on the topics we were learning,Taking notes from the textbook,Yes,Yes,Yes,,Pass the Exam,"Over my years at Discovery, I have found that we don't really utilize the technology we have available to us. Instead, teachers turn to more conventional methods of teaching such as note taking and lecturing from a powerpoint. As a ""technology based"" school, we fail to recognize how skewed the fundamentals of our school truly are.  "
2017-09-18 11:31:04,English,Wilson,The literature we read.,"The ""Root word"" quizzes.",Yes,Yes,,,Retain the Information,Math,Ramsuer,The attention to detail Mr. Ramseur gives.,The pace is too slow.,Yes,Yes,,,Pass the Exam,
2017-09-18 11:42:08,Math,Cochrane,It's not as difficult so far,The amount of work and notes ,Yes,No,Yes,Yes,Pass the Exam,Science,Sigmon,The amount of new materials taught,Too much complicated homework,Yes,No,Yes,Yes,Pass the Exam,
2017-09-18 11:49:08,AP Psych,Barham,I really loved the subject. ,So many people were in that class who didn't apply themselves and didn't try. It brought the atmosphere of the whole class down.,Yes,Yes,No,,Retain the Information,Math,Cochrane,I really like math.,There were way too many people in the class. They were loud and were constantly talking over the teacher while she was trying to teach.,Yes,No,,Yes,Pass the Exam,
2017-09-18 11:53:58,Band,Smith,Leading the brass ,Theatre Arts,Yes,Yes,Yes,Yes,Retain the Information,Spanish,Ward,Nothing,The way it was taught,Yes,No,No,No,Pass the Exam,
2017-09-18 12:17:13,Anatomy,Scronce,I am interested in how the body works and it part of what I want to do as a career.,I did not like the people in the class because I was easily distracted by them and could not focus on the work we were assigned.,No,No,No,Yes,Retain the Information,AP US History,Dixon,I enjoyed his teaching style.,"I enjoy history but I do not enjoy United States history, I enjoy world and European history more.",No,Yes,Yes,,Pass the Exam,
2017-09-18 12:20:32,AP World,Barham,played RISK for about a month,presentations,Yes,Yes,Yes,No,Pass the Exam,Math,Cochrane,when it ended,atmosphere ,Yes,No,,Yes,Retain the Information,"hi, pal"
2017-09-18 12:20:40,English,Wilson,Being with Wilson,Losing time with Wilson,Yes,No,Yes,Yes,Pass the Exam,Civics,Barham,Not a lot of homework,Being with Barham,Yes,No,,Yes,Retain the Information,
2017-09-18 12:31:15,P/E,Amerto,"I like P.E because you get to be out of a desk, and exercises.","I don't like health weeks, they are boring.",Yes,No,No,Yes,Retain the Information,Math,Britain,The Teacher.,The Math,Yes,Yes,No,,Pass the Exam,Ya like jazz?
2017-09-18 12:31:30,Chorus,Adams,We sang some pretty good songs and had fun in class. ,The people,No,No,Yes,Yes,Retain the Information,Math,Walker,N/a,N/a,No,Yes,No,,Pass the Exam,
2017-09-18 12:41:32,P/E,Amerto,I get to run around instead of sitting at a desk and doing work. ,When I get tired and sweaty. ,Yes,No,No,No,Retain the Information,Math,Henze,I was able to get high school credit. ,How the teacher went to fast and the work was very confusing,Yes,Yes,Yes,,Pass the Exam,
2017-09-18 12:50:50,Science,Sigmon,I like the teacher and i like the material that was taught,The people in it are loud.,Yes,Yes,Yes,,Retain the Information,Math,Walker,The teacher was super nice,She didnt really teach us ,Yes,Yes,No,,Pass the Exam,
2017-09-18 13:19:58,Spanish,Ward,The culture projects,memorization ,No,No,Yes,,Retain the Information,Science,Scronce,Going outside to study nature,notes,No,Yes,,Yes,Retain the Information,
2017-09-18 13:21:26,English,Wilson,The creative thinking that is involved. ,The reading. ,No,No,,Yes,Pass the Exam,World,Barham,Learning different things about history.,Taking tests and retaining the information. ,Yes,No,,Yes,Pass the Exam,
2017-09-18 13:43:30,Spanish,Ward,learning more about the language i should already know ,work load :/ i mean it's not that bad but you know :// i'm just a kid ,Yes,Yes,Yes,,Pass the Exam,Math,,uh. tests were easy for me. ,"teacher didn't have control of class. the students, okay. ",Yes,Yes,Yes,,Pass the Exam,
2017-09-18 15:54:35,English,Wilson,The diverse range of material that we would be taught ,There wasn't a least favorite aspect of the class,No,Yes,No,Yes,Pass the Exam,Civics,Barham,There were examples and went more in depth with certain topics ,There were too many people in the class,Yes,Yes,No,Yes,Retain the Information,
2017-09-18 16:35:43,Chorus,Adams,The freedom to use music as a creative outlet,Not enough structure for students,Yes,Yes,No,,Retain the Information,Senior Seminar,Crosson,"The ability to receive help from the teacher, who has experience in projects",There is a lack of grading specificity and felt like the grading was too subjective,No,No,,Yes,Retain the Information,Very good professionalism and objectivism in your method of questioning
2017-09-18 20:26:31,English,,We focused on literature and the meaning behind each novel.,I disliked doing plays and poetry in old fashion language It was confusing.,Yes,No,No,Yes,Retain the Information,AP World,,We did projects ,We had a test every week on a chapter of this book we were supposed to read. Our teacher gave the powerpoints on these sections after the test. Their was not much extra information we could have read or received.,Yes,Yes,Yes,,Pass the Exam,
2017-09-18 20:28:24,Science,Sigmon,I just really like the field of chemistry so that probably played a big part of it,I was bored because of the level in which we were learning on.,Yes,No,,Yes,Retain the Information,AP Psych,Barham,nothing i suffered through the whole thing,you want the short list or the long one,Yes,Yes,No,,Pass the Exam,
2017-09-19 07:53:41,Math,Ramsuer,I like that everything is organized.,My least favorite thing about this class is it feels to long.,No,No,Yes,Yes,Pass the Exam,Math,Walker,We did a lot of fun projects.,We didn't have enough time to learn anything.,Yes,No,Yes,Yes,Pass the Exam,
2017-09-19 08:03:32,Science,Scronce,We did experiments and went outside a couple of times. I also like the teacher.,It was only a semester long and we had to work fairly quick,Yes,No,,Yes,Retain the Information,English,Wilson,I love the teacher,I do not like reading books I have no interest in,No,No,,Yes,Retain the Information,
2017-09-19 08:22:27,Science,Sigmon,It's science and the labs,Tests because I don't like tests,No,Yes,Yes,Yes,Retain the Information,English,Wilson,Getting out of it,Going to it,No,Yes,Yes,Yes,Retain the Information,
2017-09-19 08:57:54,Spanish,Ward,Just learning a new language and getting the gist of different ethnic backgrounds. ,The overload of online assignments. ,Yes,Yes,Yes,Yes,Retain the Information,Science,Scronce,Learning about science and analyzing statistical data. ,I didn't mind the upkeep on homework assignments but scronce didn't explain the subject too well. ,Yes,Yes,No,No,Pass the Exam,"In the question where it says; ""If it was NOT advanced, did the teacher approach this class with the same mindset as they're other classes"" <- notice the typo; ""their"" not ""they're"". Just a friendly tip! :)"
2017-09-19 09:13:32,Spanish,Ward,Laid back but a good amount of work,Hard spanish questions and grammar work,Yes,Yes,Yes,,Retain the Information,Math,Walker,work wasn't to hard ,more confusing than helpful group teaching ,Yes,Yes,Yes,,Pass the Exam,
2017-09-19 09:13:38,Band,Smith,We get to play and learn new stuff about music,Concert band,Yes,Yes,Yes,Yes,Pass the Exam,Math,Walker,when the teacher wasn't there,being there,No,No,Yes,No,Retain the Information,
2017-09-19 09:14:36,Civics,Barham,The way he teaches the material.,The difficult tests.,No,No,Yes,Yes,Retain the Information,Math,Walker,She was helpful,The way she taught certain things.,Yes,No,Yes,No,Pass the Exam,
2017-09-19 09:15:11,Band,Smith,Playing my instrument ,The stress,Yes,Yes,Yes,,Retain the Information,Math,Walker,got to mess around sometimes,"the actual work, she was a terrible teacher ",Yes,Yes,Yes,,Pass the Exam,
2017-09-19 09:15:19,Band,Smith,the high expectations,the high expectations,No,Yes,Yes,,Retain the Information,Math,Walker,nothing ,how the material was taught,Yes,Yes,No,,Pass the Exam,
